WP,FlatMassQCDEff_0p25,FlatMassQCDEff_0p30,FlatMassQCDEff_0p37,FlatMassQCDEff_0p46,FlatMassQCDEff_0p58,FlatMassQCDEff_0p74,FlatMassQCDEff_0p94,FlatMassQCDEff_1p25,FlatMassQCDEff_1p55
( M()>=98.0 && M() < 99.0),4.550844867079095,4.401835756401309,4.20665604911407,3.9517321120536852,3.679330665890163,3.3669437904466166,2.9759047730579242,2.524652716233146,2.1302590428844614
( M()>=99.0 && M() < 100.0),4.553981604983913,4.405479902591269,4.211332288815057,3.9558029878875125,3.683884187236737,3.3701570443197966,2.9791208835012473,2.5284509283415457,2.133988927381673
( M()>=100.0 && M() < 101.0),4.556549683221826,4.408444034895353,4.215328033118029,3.959412543965922,3.6879880536204066,3.372592836470697,2.9816077164585137,2.5313453562522064,2.137063287835807
( M()>=101.0 && M() < 102.0),4.558544033132697,4.410732923179068,4.21864254572824,3.9625698773582982,3.691643108093698,3.374279752932669,2.983375371846204,2.5333307833545167,2.139485473337378
( M()>=102.0 && M() < 103.0),4.559959586056386,4.412351337307921,4.221275090350947,3.9652840851340216,3.6948501937091365,3.375246379739063,2.9844339495807977,2.534401993037865,2.141258832976896
( M()>=103.0 && M() < 104.0),4.560795834967073,4.413309109297024,4.223230121294895,3.9675669173733925,3.697612443548371,3.375529783260425,2.984805730653799,2.5345697887632244,2.1423995115490753
( M()>=104.0 && M() < 105.0),4.561075984865307,4.41364238493774,4.22453907436672,3.969443914886165,3.6999448945913374,3.375211111870614,2.984576315023522,2.5339282486105104,2.1429901677456393
( M()>=105.0 && M() < 106.0),4.560830921300601,4.413395833301727,4.225242124934689,3.9709450854294213,3.701866439602888,3.374385792520091,2.983851812258784,2.5325984240940653,2.1431350047368416
( M()>=106.0 && M() < 107.0),4.560091533762975,4.412614127833515,4.225379452850904,3.9721004390520123,3.703395973326089,3.37314925948495,2.9827383424508684,2.5307013805669683,2.1429382367463394
( M()>=107.0 && M() < 108.0),4.558888711742454,4.411341941977636,4.224991237967466,3.9729399858027925,3.7045523905040056,3.3715969470412865,2.9813420256910628,2.5283581833823017,2.1425040779977937
